PLT_CN,SUBP,TREE,STATUSCD,SPCD,DIA,HT,ACTUALHT,CCLCD,TPA_UNADJ
670951075126144,1,1,2,108.0,,,,,
670951075126144,1,2,1,108.0,1.0,9,9,3,74.965282
670951075126144,2,1,2,108.0,,,,,
670951075126144,2,2,2,108.0,,,,,
670951075126144,2,3,2,108.0,,,,,
670951075126144,2,4,2,108.0,,,,,
670951075126144,2,5,2,108.0,,,,,
670951075126144,2,6,2,108.0,,,,,
670951075126144,2,7,2,108.0,,,,,
670951075126144,2,8,2,108.0,,,,,
670951075126144,2,9,2,108.0,,,,,
670951075126144,3,1,2,108.0,,,,,
670951075126144,3,2,2,108.0,,,,,
670951075126144,3,3,2,108.0,,,,,
670951075126144,3,4,2,108.0,,,,,
670951075126144,3,5,2,108.0,,,,,
670951075126144,3,6,2,108.0,,,,,
670951075126144,3,7,2,108.0,,,,,
670951075126144,3,8,2,108.0,,,,,
670951075126144,3,9,2,108.0,,,,,
670951075126144,3,10,2,108.0,5.7,51,51,,6.018046
670951075126144,3,11,2,73.0,17.8,95,59,,6.018046
670951075126144,3,12,2,108.0,,,,,
670951075126144,4,1,2,108.0,,,,,
670951075126144,4,2,2,108.0,,,,,
670951075126144,4,3,2,108.0,,,,,
670951075126144,4,4,2,108.0,,,,,
670951075126144,4,5,2,108.0,,,,,
670951075126144,4,6,2,108.0,,,,,
670951075126144,4,7,2,108.0,,,,,
670951075126144,4,8,2,108.0,,,,,
670951075126144,4,9,2,108.0,,,,,
670951075126144,4,10,2,108.0,7.2,62,62,,6.018046
670950940126144,1,1,2,108.0,7.3,36,35,,6.018046
670950940126144,1,2,2,108.0,,,,,
670950940126144,1,3,2,108.0,,,,,
670950940126144,1,4,2,108.0,7.4,40,39,,6.018046
670950940126144,1,5,1,108.0,10.7,70,70,3,6.018046
670950940126144,1,6,2,108.0,,,,,
670950940126144,1,7,2,108.0,8.5,72,72,,6.018046
670950940126144,1,8,2,108.0,,,,,
670950940126144,1,9,2,108.0,8.5,28,27,,6.018046
670950940126144,1,10,2,108.0,,,,,
670950940126144,1,11,2,108.0,,,,,
670950940126144,1,12,2,108.0,,,,,
670950940126144,1,13,2,108.0,,,,,
670950940126144,1,14,2,108.0,,,,,
670950940126144,1,15,1,108.0,8.2,67,67,3,6.018046
670950940126144,1,16,2,202.0,,,,,
670950940126144,2,1,1,108.0,8.5,71,67,3,6.018046
670950940126144,2,2,2,108.0,,,,,
670950940126144,2,3,2,108.0,5.1,27,26,,6.018046
670950940126144,2,4,1,108.0,9.9,71,69,3,6.018046
670950940126144,2,5,1,108.0,9.5,63,63,3,6.018046
670950940126144,2,6,2,108.0,,,,,
670950940126144,2,7,2,108.0,,,,,
670950940126144,2,8,2,108.0,,,,,
670950940126144,2,9,2,108.0,,,,,
670950940126144,2,10,2,108.0,,,,,
670950940126144,2,11,1,119.0,6.0,30,30,4,6.018046
670950940126144,2,12,1,202.0,18.6,75,75,3,6.018046
670950940126144,2,13,2,108.0,7.5,35,33,,6.018046
670950940126144,2,14,2,108.0,,,,,
670950940126144,2,15,1,73.0,9.4,59,59,3,6.018046
670950940126144,2,16,2,108.0,,,,,
670950940126144,2,17,1,202.0,5.4,30,30,4,6.018046
670950940126144,3,1,1,108.0,6.4,64,64,3,6.018046
670950940126144,3,2,2,108.0,,,,,
670950940126144,3,3,2,108.0,,,,,
670950940126144,3,4,2,108.0,,,,,
670950940126144,3,5,1,108.0,8.1,60,60,3,6.018046
670950940126144,3,6,2,108.0,,,,,
670950940126144,3,7,2,108.0,8.5,28,27,,6.018046
670950940126144,3,8,2,108.0,,,,,
670950940126144,3,9,2,108.0,,,,,
670950940126144,3,10,1,108.0,9.7,69,68,3,6.018046
670950940126144,3,11,2,108.0,6.3,67,67,,6.018046
670950940126144,3,12,2,108.0,6.2,42,41,,6.018046
670950940126144,3,13,2,108.0,,,,,
670950940126144,3,14,2,108.0,,,,,
670950940126144,3,15,1,202.0,11.6,57,57,3,6.018046
670950940126144,3,16,2,108.0,,,,,
670950940126144,3,17,2,108.0,,,,,
670950940126144,3,18,2,108.0,7.7,30,29,,6.018046
670950940126144,3,19,2,108.0,,,,,
670950940126144,3,20,1,108.0,5.8,67,57,3,6.018046
670950940126144,3,21,2,108.0,,,,,
670950940126144,3,22,2,108.0,7.2,26,26,,6.018046
670950940126144,3,23,2,108.0,5.7,16,16,,6.018046
670950940126144,3,24,1,108.0,7.2,81,81,3,6.018046
670950940126144,3,25,2,108.0,,,,,
670950940126144,3,26,1,108.0,7.8,62,62,4,6.018046
670950940126144,3,27,1,108.0,9.6,68,68,3,6.018046
670950940126144,3,28,1,108.0,6.0,59,59,3,6.018046
670950940126144,3,29,1,108.0,5.9,62,62,4,6.018046
670950940126144,3,30,1,108.0,6.0,52,52,3,6.018046
670950940126144,3,31,2,108.0,,,,,
670950940126144,3,32,1,202.0,4.7,27,16,4,74.965282
670950940126144,4,1,2,108.0,,,,,
670950940126144,4,2,2,108.0,,,,,
670950940126144,4,3,2,108.0,,,,,
670950940126144,4,4,1,108.0,6.4,57,57,3,6.018046
670950940126144,4,5,2,108.0,,,,,
670950940126144,4,6,2,108.0,,,,,
670950940126144,4,7,1,73.0,10.2,85,85,3,6.018046
670950940126144,4,8,2,108.0,11.6,74,72,,6.018046
670950940126144,4,9,2,108.0,,,,,
670950940126144,4,10,2,108.0,9.0,75,75,,6.018046
670950940126144,4,11,2,108.0,6.8,71,71,,6.018046
670950940126144,4,12,2,108.0,,,,,
670950940126144,4,13,2,108.0,,,,,
670950940126144,4,14,2,108.0,7.4,64,58,,6.018046
670950940126144,4,15,1,108.0,12.6,79,79,3,6.018046
670950940126144,4,16,2,108.0,,,,,
670950940126144,4,17,2,108.0,,,,,
670950940126144,4,18,2,108.0,,,,,
670950940126144,4,19,2,108.0,,,,,
670950940126144,4,20,1,202.0,7.1,33,33,3,6.018046
670950992126144,1,1,2,66.0,6.7,11,11,,6.018046
670950992126144,2,1,1,202.0,13.0,43,43,3,6.018046
670950992126144,2,2,2,122.0,,,,,
670950992126144,3,1,2,122.0,,,,,
670950992126144,3,2,2,202.0,,,,,
670950992126144,4,2,2,202.0,9.3,45,7,,6.018046
670950992126144,4,3,2,202.0,8.8,47,17,,6.018046
670950609126144,1,1,2,17.0,7.6,56,56,,6.018046
670950609126144,1,2,2,17.0,11.2,77,77,,6.018046
670950609126144,1,3,2,202.0,,,,,
670950609126144,1,4,2,17.0,,,,,
670950609126144,1,5,2,108.0,,,,,
670950609126144,1,6,2,202.0,10.7,78,78,,6.018046
670950609126144,1,7,2,73.0,,,,,
670950609126144,1,8,2,202.0,17.0,89,89,,6.018046
670950609126144,1,9,2,202.0,,,,,
670950609126144,1,10,2,202.0,12.2,89,89,,6.018046
670950609126144,1,11,2,202.0,,,,,
670950609126144,1,12,2,202.0,5.8,29,29,,6.018046
670950609126144,1,13,2,202.0,,,,,
670950609126144,1,14,2,17.0,6.4,54,54,,6.018046
670950609126144,1,15,2,202.0,,,,,
670950609126144,1,16,2,17.0,6.4,48,48,,6.018046
670950609126144,1,17,2,202.0,,,,,
670950609126144,1,18,2,73.0,,,,,
670950609126144,1,19,2,17.0,5.4,33,33,,6.018046
670950609126144,2,1,2,17.0,,,,,
670950609126144,2,2,2,17.0,14.4,77,77,,6.018046
670950609126144,2,3,2,17.0,7.0,42,42,,6.018046
670950609126144,2,4,1,73.0,17.2,90,90,3,6.018046
670950609126144,2,5,1,202.0,17.3,94,94,3,6.018046
670950609126144,2,6,2,73.0,8.4,67,36,,6.018046
670950609126144,2,7,2,73.0,,,,,
670950609126144,2,8,2,17.0,5.0,32,32,,6.018046
670950609126144,3,1,2,17.0,6.4,52,52,,6.018046
670950609126144,3,2,2,17.0,,,,,
670950609126144,3,3,2,108.0,,,,,
670950609126144,3,4,2,202.0,,,,,
670950609126144,3,5,2,17.0,22.8,106,106,,6.018046
670950609126144,3,6,2,17.0,14.2,100,100,,6.018046
670950609126144,3,7,2,17.0,5.2,45,45,,6.018046
670950609126144,3,8,2,17.0,,,,,
670950609126144,3,9,2,17.0,7.1,59,59,,6.018046
670950609126144,3,10,2,17.0,,,,,
670950609126144,3,11,2,17.0,,,,,
670950609126144,3,12,2,17.0,,,,,
670950609126144,4,1,1,17.0,14.5,111,111,3,6.018046
670950609126144,4,2,2,202.0,6.6,57,57,,6.018046
670950609126144,4,3,2,202.0,,,,,
670950609126144,4,4,2,93.0,,,,,
670950609126144,4,5,2,17.0,,,,,
670950609126144,4,6,2,17.0,5.9,35,35,,6.018046
670950609126144,4,7,2,17.0,,,,,
670950609126144,4,8,2,17.0,,,,,
670950609126144,4,9,1,17.0,20.0,114,114,3,6.018046
670950609126144,4,10,2,17.0,,,,,
670950609126144,4,11,2,17.0,,,,,
670950609126144,4,12,2,17.0,2.2,13,13,,74.965282
670950609126144,4,13,2,17.0,4.1,30,30,,74.965282
670950600126144,1,1,1,73.0,13.8,77,77,3,6.018046
670950600126144,1,2,1,202.0,12.0,45,45,3,6.018046
670950600126144,2,1,1,73.0,10.4,72,72,3,6.018046
670950600126144,2,2,1,73.0,7.9,50,50,3,6.018046
670950600126144,2,3,2,202.0,,,,,
670950600126144,2,4,1,73.0,15.7,76,74,3,6.018046
670950600126144,2,5,2,108.0,,,,,
670950600126144,2,6,1,73.0,5.1,23,21,4,6.018046
670950600126144,3,1,1,202.0,10.6,61,61,3,6.018046
670950600126144,3,2,1,202.0,11.3,61,61,3,6.018046
670950600126144,3,3,1,73.0,12.8,58,58,4,6.018046
670950600126144,3,4,1,73.0,20.9,104,104,3,6.018046
670950600126144,3,5,1,202.0,6.6,38,38,4,6.018046
670950600126144,3,6,1,202.0,5.6,31,31,3,6.018046
670950600126144,4,1,1,73.0,21.4,100,100,3,6.018046
670950600126144,4,2,1,202.0,6.5,34,34,4,6.018046
670950600126144,4,3,1,202.0,16.5,94,94,3,6.018046
670950600126144,4,4,2,108.0,9.7,58,58,,6.018046
670950600126144,4,5,1,202.0,12.8,73,73,4,6.018046
670950600126144,4,6,2,202.0,8.4,59,6,,6.018046
670950600126144,4,7,2,202.0,,,,,
670950600126144,4,8,2,202.0,,,,,
670950600126144,4,9,2,73.0,,,,,
670951118126144,2,1,1,202.0,7.0,31,31,3,6.018046
670951118126144,2,2,2,66.0,,,,,
670951118126144,2,3,2,66.0,,,,,
670951118126144,2,4,2,202.0,17.3,49,49,,6.018046
670951118126144,2,5,2,66.0,,,,,
670951118126144,2,6,2,202.0,13.0,35,35,,6.018046
670951118126144,2,7,2,66.0,,,,,
670951118126144,2,8,1,66.0,6.2,14,14,3,6.018046
670951118126144,2,9,2,202.0,19.5,36,36,,6.018046
670951118126144,3,1,1,202.0,7.8,33,33,3,6.018046
670951118126144,3,2,2,202.0,7.5,33,8,,6.018046
670951118126144,3,3,1,202.0,11.5,39,39,3,6.018046
670951118126144,3,4,2,202.0,,,,,
670951118126144,3,5,2,202.0,,,,,
670951118126144,4,1,1,202.0,19.0,47,47,3,6.018046
670951118126144,4,2,1,66.0,19.4,16,16,4,6.018046
670951118126144,4,3,1,66.0,6.3,10,10,5,6.018046
670951118126144,4,4,2,66.0,11.7,14,5,,6.018046
670951118126144,4,5,2,202.0,11.7,31,31,,6.018046
670951118126144,4,6,2,66.0,13.3,25,25,,6.018046
670951118126144,4,7,2,66.0,5.6,20,20,,6.018046
670951118126144,4,8,1,66.0,6.5,15,15,4,6.018046
670951118126144,4,9,1,66.0,14.4,18,16,3,6.018046
670950964126144,1,1,1,122.0,12.0,68,68,3,6.018046
670950964126144,1,2,1,202.0,16.2,74,74,3,6.018046
670950964126144,1,3,1,202.0,19.3,80,80,3,6.018046
670950964126144,2,1,1,122.0,7.4,57,57,3,6.018046
670950964126144,2,2,1,202.0,19.3,80,80,3,6.018046
670950964126144,3,1,1,202.0,7.4,36,36,4,6.018046
670950964126144,3,2,1,202.0,11.1,52,52,3,6.018046
670950964126144,3,3,1,202.0,13.0,64,64,3,6.018046
670950964126144,3,4,1,202.0,12.7,58,58,3,6.018046
670950964126144,3,5,1,122.0,11.6,68,68,3,6.018046
670950964126144,3,6,1,122.0,7.8,54,54,3,6.018046
670950964126144,3,7,1,202.0,6.8,39,39,4,6.018046
670950964126144,3,8,1,202.0,14.7,60,60,3,6.018046
670950964126144,4,1,1,202.0,15.6,71,71,3,6.018046
670950964126144,4,2,1,202.0,6.6,33,33,4,6.018046
670950964126144,4,3,1,202.0,8.2,47,47,3,6.018046
670951031126144,1,1,1,202.0,11.0,69,69,3,6.018046
670951031126144,1,2,1,202.0,9.4,65,65,3,6.018046
670951031126144,1,3,1,202.0,13.2,78,78,3,6.018046
670951031126144,1,4,1,202.0,6.6,51,51,4,6.018046
670951031126144,1,5,1,202.0,5.6,43,43,5,6.018046
670951031126144,1,6,2,202.0,,,,,
670951031126144,1,7,1,202.0,9.8,55,55,3,6.018046
670951031126144,2,1,2,202.0,7.7,50,5,,6.018046
670951031126144,2,2,1,202.0,9.3,72,72,4,6.018046
670951031126144,2,3,1,202.0,11.0,76,76,3,6.018046
670951031126144,2,4,2,202.0,,,,,
670951031126144,2,5,1,202.0,8.8,67,67,3,6.018046
670951031126144,2,6,2,202.0,9.9,60,41,,6.018046
670951031126144,2,7,1,202.0,11.4,85,85,3,6.018046
670951031126144,2,8,1,202.0,9.9,75,75,3,6.018046
670951031126144,2,9,2,73.0,,,,,
670951031126144,2,10,1,202.0,8.5,76,76,3,6.018046
670951031126144,2,11,1,202.0,5.8,69,69,4,6.018046
670951031126144,2,12,1,202.0,12.2,76,76,3,6.018046
670951031126144,2,13,1,202.0,11.9,75,75,3,6.018046
670951031126144,2,14,1,202.0,11.5,73,73,3,6.018046
670951031126144,2,15,1,202.0,11.5,82,82,3,6.018046
670951031126144,3,1,1,202.0,9.8,70,70,3,6.018046
670951031126144,3,2,1,73.0,6.7,64,64,4,6.018046
670951031126144,3,3,1,202.0,14.1,78,78,3,6.018046
670951031126144,3,4,1,73.0,6.8,65,65,3,6.018046
670951031126144,3,5,1,73.0,7.3,75,75,3,6.018046
670951031126144,3,6,1,73.0,7.7,63,63,3,6.018046
670951031126144,3,7,1,202.0,12.8,74,74,3,6.018046
670951031126144,4,1,1,73.0,11.9,82,82,3,6.018046
670951031126144,4,2,1,202.0,12.5,73,73,3,6.018046
670951031126144,4,3,1,202.0,12.1,68,68,3,6.018046
670951031126144,4,4,1,202.0,9.2,61,61,3,6.018046
670951031126144,4,5,2,202.0,,,,,
670951031126144,4,6,1,202.0,12.9,76,76,3,6.018046
670950608126144,1,1,1,19.0,5.9,39,39,4,6.018046
670950608126144,1,2,1,19.0,6.2,42,42,4,6.018046
670950608126144,1,3,1,93.0,30.3,120,120,2,6.018046
670950608126144,1,4,1,93.0,20.7,101,101,3,6.018046
670950608126144,1,5,1,108.0,13.8,76,76,3,6.018046
